db43e069:00000000:85fbd6d30abd3d9f   cuBody_Bony_Normals
db43e069:00000000:7ed4a1c526e0c0a4   cuBody_Bony_Shape
db43e069:00000000:6970fcbcef1d8ff4   cuBody_Fit_Normals
db43e069:00000000:dfc9e04a36aa2823   cuBody_Fit_Shape
db43e069:00000000:0d9e158116770ab4   cuBody_Heavy_Normals
db43e069:00000000:676f9511cc40e1e3   cuBody_Heavy_Shape
db43e069:00000000:7542fc30dd344755   cuBody_Lean_Normals
db43e069:00000000:50390a74a02f280e   cuBody_Lean_Shape
db43e069:00000000:9d006763c5d70f8a   cuBody_Pregnant_Normals
db43e069:00000000:e47d824fe06b2bbd   cuBody_Pregnant_Shape
db43e069:00000000:f6578469aa5da6a2   cuHead_JawDefined_Normals
db43e069:00000000:cb44f96c31c45605   cuHead_JawDefined_Shape
db43e069:00000000:5fdbda60f20a44fd   cuHead_JawSoft_Normals
db43e069:00000000:d5b53365b38fb666   cuHead_JawSoft_Shape
db43e069:00000000:43d86e353b103ee5   efBody_Average_Normals
db43e069:00000000:6732fc262f7c159e   efBody_Average_Shape
db43e069:00000000:c49ca1075dd03518   efBody_Bony_Normals
db43e069:00000000:706124e132c5c70f   efBody_Bony_Shape
db43e069:00000000:ab660cd844e01f39   efBody_Fit_Normals
db43e069:00000000:77da31aeba89acca   efBody_Fit_Shape
db43e069:00000000:a0bf3a7e5b20654d   efBody_Heavy_Normals
db43e069:00000000:7c5eee7a48ef9136   efBody_Heavy_Shape
db43e069:00000000:254319d7af7319da   efBody_Lean_Normals
db43e069:00000000:69cb496c0e5a754d   efBody_Lean_Shape
db43e069:00000000:28ef73f8a24b288d   efBody_Pregnant_Normals
db43e069:00000000:143f9025f1930176   efBody_Pregnant_Shape
db43e069:00000000:cecd0173575b734a   emBody_Average_Normals
db43e069:00000000:1668eb4c56c1ad7d   emBody_Average_Shape
db43e069:00000000:755e030223f07eb9   emBody_Bony_Normals
db43e069:00000000:ca0884bee44e804a   emBody_Bony_Shape
db43e069:00000000:521c815313b3cdaa   emBody_Fit_Normals
db43e069:00000000:bfdb17bb5ed0badd   emBody_Fit_Shape
db43e069:00000000:2917530db6bf1b1a   emBody_Heavy_Normals
