0x96480624	-0.055321, 0.2140968, 0.07064779	-0.038361, 0.2140992, 0.06875593	
0xF8179DBD	-0.049, 0.1932627, 0.001706933	-0.03, 0.1932627, 0.001706932	
0x2D82EEEE	-0.0627, 0.2232335, -0.08093368	-0.04, 0.2232335, -0.08093368	
0x05B453E6	-0.00013, 0.2979981, 0.02845499	-0.0001300016, 0.2846093, 0.0275409	
0xEE35FF29	-0.00134, 0.1475407, -0.09110869	-0.00134, 0.186325, -0.08861128	
0x59717E8C	-0.00051, 0.1517199, 0.006057407	-0.000509999, 0.1858105, 0.008384851	
0xAA62635A	0.055321, 0.2140968, 0.07064779	0.038361, 0.2140991, 0.0687559	
0xE59BF23B	0.049, 0.1932627, 0.001706933	0, 0, 0	
0xBBBE16B4	-0.00193, 0.2980321, -0.1082737	-0.00193, 0.2846398, -0.1091361	
0x7AAE6264	-0.00116, 0.2934869, -0.03327746	-0.001159999, 0.2801324, -0.0346018	
0x6F68B2A4	0.0627, 0.2232335, -0.08093368	0.04, 0.2232335, -0.08093368	
0x5E26402E	0.061247, 0.1249296, -0.2031133	0.08135015, 0.1249296, -0.2031133	
0x04B7993C	-0.068297, 0.1890298, -0.1942468	-0.09544688, 0.1891939, -0.1947389	
0x9196F6B5	-0.041937, 0.05820806, -0.2704993	-0.04190982, 0.05761013, -0.291155	
0xAABE959E	-0.0026, 0.1491814, -0.1417981	-0.0026, 0.1104117, -0.1443605	
0xFDE9EA38	-0.061247, 0.1249296, -0.2031133	-0.08135015, 0.1249296, -0.2031133	
0xC1D02C52	0.068297, 0.1890298, -0.1942468	0.09544688, 0.1891939, -0.1947389	
0x4FC6D033	0.041937, 0.05820806, -0.2704993	0.041937, 0.05761013, -0.291155	
0xA86D0B70	0.0468, 0.2792615, 0.1001174	0, 0, 0	
0xD9BECB5C	-0.058051, 0.112877, 0.05423198	0, 0, 0	
0x0728C096	-0.0468, 0.2792615, 0.1001174	0, 0, 0	
0x968F97FF	0.00081, 0.3270188, 0.07438687	0.0008693303, 0.3201594, 0.08957544	
0x1374CECB	0.00196, 0.2983863, -0.1916045	0.00195738, 0.3118015, -0.1916045	
0x3D833F4E	0.058051, 0.112877, 0.05423198	0, 0, 0	
